Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

MNI_MNI.img	Telencephalon_L	486301	25.4088	233.1417	148.5381	43.3960	
MNI_MNI.img	Telencephalon_R	499555	15.8757	236.3827	148.9729	43.3592	
MNI_MNI.img	Diencephalon_L	10232	45.2301	225.5247	162.7883	21.1451	
MNI_MNI.img	Diencephalon_R	10311	44.8881	217.7755	161.5953	21.8251	
MNI_MNI.img	Mesencephalon	12850	114.2911	240.2272	194.4724	18.0967	
MNI_MNI.img	Metencephalon	151693	27.2264	234.8886	140.1013	39.1061	
MNI_MNI.img	Myelencephalon	5565	0.0000e+00	229.5041	179.9462	27.3939	
MNI_MNI.img	CSF	154028	8.4701	173.5771	58.3500	23.0563	



Type1-L2 Statistics

MNI_MNI.img	CerebralCortex_L	239014	25.4088	191.0600	110.7060	25.0734	
MNI_MNI.img	CerebralCortex_R	245829	15.8757	208.3486	111.0745	24.6723	
MNI_MNI.img	CerebralNucli_L	14263	78.1990	217.8881	142.3257	26.0974	
MNI_MNI.img	CerebralNucli_R	14800	83.1329	224.3141	144.4737	26.3771	
MNI_MNI.img	Thalamus_L	6851	118.5325	205.6613	165.0119	15.5250	
MNI_MNI.img	Thalamus_R	6978	109.4575	205.8864	162.6002	17.4565	
MNI_MNI.img	BasalForebrain_L	3381	45.2301	225.5247	158.2826	28.8860	
MNI_MNI.img	BasalForebrain_R	3333	44.8881	217.7755	159.4914	28.7936	
MNI_MNI.img	Mesencephalon_L	6387	137.5950	240.2272	194.7310	17.2346	
MNI_MNI.img	Mesencephalon_R	6463	114.2911	239.4667	194.2169	18.9066	
MNI_MNI.img	Metencephalon_R	76402	34.6851	233.6139	140.9541	38.6916	
MNI_MNI.img	Metencephalon_L	75291	27.2264	234.8886	139.2359	39.5036	
MNI_MNI.img	Myelencephalon_L	2842	0.0000e+00	228.1530	181.4304	26.4656	
MNI_MNI.img	Myelencephalon_R	2723	0.0000e+00	229.5041	178.3971	28.2473	
MNI_MNI.img	WhiteMatter_L	233024	64.4337	233.1417	187.7230	15.4178	
MNI_MNI.img	WhiteMatter_R	238926	46.5534	236.3827	188.2450	15.4942	
MNI_MNI.img	Ventricle	34623	8.4701	173.5771	59.2349	36.0425	
MNI_MNI.img	Sulcus_L	62811	12.8375	112.0501	58.1791	17.2672	
MNI_MNI.img	Sulcus_R	56594	12.0048	110.5136	57.9984	17.9031	



Type1-L3 Statistics

MNI_MNI.img	Frontal_L	75053	42.6620	191.0600	113.7493	24.5195	
MNI_MNI.img	Frontal_R	76908	28.0307	190.3067	115.3707	24.9514	
MNI_MNI.img	Parietal_L	37292	38.9075	190.1615	118.0091	24.9977	
MNI_MNI.img	Parietal_R	36503	39.0642	188.8868	116.9735	24.5999	
MNI_MNI.img	Temporal_L	50005	25.4088	189.9059	104.7344	24.5780	
MNI_MNI.img	Temporal_R	52691	29.0255	197.1919	106.2224	23.1221	
MNI_MNI.img	Limbic_L	34412	28.9531	186.5610	106.1261	23.0406	
MNI_MNI.img	Limbic_R	36586	15.8757	208.3486	104.6501	23.1097	
MNI_MNI.img	Occipital_L	34776	25.4440	187.8834	110.8043	26.3529	
MNI_MNI.img	Occipital_R	36160	25.0758	187.2417	109.6595	24.8990	
MNI_MNI.img	Insula_L	9337	34.6463	167.9236	105.8853	21.1935	
MNI_MNI.img	Insula_R	8975	42.1549	169.9369	111.7374	22.4902	
MNI_MNI.img	BasalGang_L	12402	80.7870	217.8881	146.8331	24.4224	
MNI_MNI.img	BasalGang_R	12806	83.1329	224.3141	148.9069	24.9399	
MNI_MNI.img	Thalamus_L	6851	118.5325	205.6613	165.0119	15.5250	
MNI_MNI.img	Thalamus_R	6978	109.4575	205.8864	162.6002	17.4565	
MNI_MNI.img	BasalForebrain_L	3381	45.2301	225.5247	158.2826	28.8860	
MNI_MNI.img	BasalForebrain_R	3333	44.8881	217.7755	159.4914	28.7936	
MNI_MNI.img	midbrain_L	6387	137.5950	240.2272	194.7310	17.2346	
MNI_MNI.img	midbrain_R	6463	114.2911	239.4667	194.2169	18.9066	
MNI_MNI.img	Cerebellum_R	66923	34.6851	233.6139	133.5037	35.1956	
MNI_MNI.img	Cerebellum_L	66377	27.2264	232.2592	131.8504	35.8701	
MNI_MNI.img	Pons_L	8914	117.8534	234.8886	194.2317	13.0060	
MNI_MNI.img	Pons_R	9479	131.4963	230.9890	193.5552	12.7247	
